Marca temporal;Título;Resumen;Link en The Movie DB;Género;Edad al momento de ver la película;Calificación;Género
2/24/2019 10:05:35;1984 (2008);"Inspired by one of the twentieth century's greatest novels, composer Lorin Maazel evokes Orwell's totalitarian nightmare, where ""Big Brother"" is always watching, and those guilty of ""thoughtcrime"" are condemned to face their worst fears in the infamous ""Room 101"". Filmed during world premiere performances of Robert Lepage's spectacular and psychologically gripping Royal Opera production and conducted by the composer, an international cast brings Orwell's datk vision to shattering operatic life.";https://www.themoviedb.org/movie/282912-1984?language=es-MX;Hombre;18 a 25 años;8;Ciencia Ficción, Música
2/24/2019 10:06:13;21 Black Jack (2008);Ben Campbell (Jim Sturgess), un tímido y brillante estudiante del Instituto Tecnológico de Massachussets (MIT), recurre a los naipes para poder pagar la matrícula de la universidad. Se le presenta, además, la oportunidad de unirse a un grupo de estudiantes que viajan a Las Vegas para jugar al blackjack. Bajo la dirección del poco ortodoxo profesor de matemáticas y genio de la estadística Micky Rosa (Kevin Spacey), han conseguido descifrar el código del éxito, mediante el conteo de cartas.;https://www.themoviedb.org/movie/8065-21?language=es-MX;Hombre;18 a 25 años;8;Drama, Crimen
2/24/2019 10:07:09;Germany Year Zero (1948);The final film in Rossellini's war film trilogy (the first two being Rome, Open City and Paisà). Germany Year Zero takes place in post-war Germany, unlike the others, which take place in German-occupied Rome and post-war Italy, respectively. The story follows a twelve-year-old boy, Edmund Kohler, who is mainly left to his own devices in order to survive and to help his family do the same.;https://www.themoviedb.org/movie/8016-germania-anno-zero?language=es-MX;Hombre;18 a 25 años;6;Bélica, Drama
2/24/2019 10:08:01;Amadeus (1984);The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival, Antonio Salieri—now confined to an insane asylum.;https://www.themoviedb.org/movie/279-amadeus?language=es-MX;Hombre;25 a 40 años;7;Drama, Historia, Música
2/24/2019 10:08:50;Ant-Man: El hombre hormiga (2015);Armado con el traje especial diseñado por el Dr. Hank Pym, el cual le permite reducir su tamaño al de una hormiga mientras incrementa su fuerza, el ex ladrón Scott Lang deberá aceptar su lado heroico y organizar un arriesgado robo para evitar que la tecnología del Dr. Pym caiga en manos inescrupulosas.;https://www.themoviedb.org/movie/102899-ant-man?language=es-MX;Hombre;25 a 40 años;7;Ciencia Ficción, Acción, Aventura
2/24/2019 10:09:26;Avatar (2009);Jake Sully, un ex-marine condenado a vivir en una silla de ruedas, sigue siendo, un auténtico guerrero. Precisamente por ello ha sido designado para ir a Pandora, donde algunas empresas están extrayendo un mineral extraño que podría resolver la crisis energética de la Tierra. Para contrarrestar la toxicidad de la atmósfera de Pandora, se ha creado el programa Avatar, gracias al cual los seres humanos mantienen sus conciencias unidas a un avatar: un cuerpo biológico controlado de forma remota.;https://www.themoviedb.org/movie/19995-avatar?language=es-MX;Hombre;18 a 25 años;9;Acción, Aventura, Fantasía, Ciencia Ficción
2/24/2019 10:10:20;Batman inicia (2005);Atormentado por la culpa y la ira tras el abandono por la muerte de sus padres en un tiroteo, Bruce Wayne viaja en secreto por el mundo, buscando los medios para luchar contra la injusticia. Durante su ausencia, un misterioso hombre llamado Henry Ducard lo adiestra en todas las disciplinas físicas y mentales que le permitirán combatir el mal. Cuando Bruce vuelve a Gótica encuentra la ciudad dominada por una delincuencia y una corrupción desenfrenadas. Con la ayuda de su leal mayordomo Alfred Pennyworth, del detective James Gordon y de Lucius Fox, Bruce Wayne libera a su alter ego: Batman.;https://www.themoviedb.org/movie/272-batman-begins?language=es-MX;Hombre;15 a 18 años;6;Acción, Crimen, Drama
2/24/2019 10:11:05;Batman vs Robin (2015);"Damian Wayne está teniendo dificultades para hacer frente a la regla de ""no matar"" de su padre. Mientras tanto, Gotham está pasando por el infierno con amenazas como la loca Dollmaker, y la secreta Corte de Owls.";https://www.themoviedb.org/movie/321528-batman-vs-robin?language=es-MX;Hombre;25 a 40 años;7;Acción, Aventura, Animación
2/24/2019 10:11:56;Batman y Harley Quinn (2017);En el momento en que una interrupción en STAR Labs conduce a un expediente secreto robado por el dueto espantoso de Poison Ivy y Floronic Man (Jason Woodrue), es una luz verde para el crimen y el caos. Con tanto The Dark Knight y Nightwing en el caso, que procuran una cierta comodín de ayuda, Harley Quinn! Últimamente liberado de Asilo de Arkham y tratando de adaptarse a la vida fuera de los focos de supervillano, Harley se ve a sí satisfacción y boca nuevamente de nuevo;https://www.themoviedb.org/movie/408648-batman-and-harley-quinn?language=es-MX;Hombre;25 a 40 años;5;Aventura, Acción, Animación, Ciencia Ficción
2/24/2019 10:12:33;Batman: Año Uno (2011);Adaptación animada del aclamado cómic de Frank Miller. La historia del original cuenta los inicios de la carrera de Bruce Wayne como Batman y de James Gordon con el Departamento de Policía de Gotham City. La vida de estos dos individuos se entrelazan cuando descubren que son aliados en contra de los poderes corruptos en Gotham City. La historia también incluye la primera aparición del capo de la mafia Carmine Falcone.;https://www.themoviedb.org/movie/69735-batman-year-one?language=es-MX;Hombre;25 a 40 años;6;Acción, Aventura, Animación, Crimen, Ciencia Ficción, Misterio
2/24/2019 10:13:25;Batman: El Misterio de Capucha Roja (2010);Batman se enfrenta a su ultima aventura cuando el misterioso Capucha Roja toma Gotham por sorpresa. Capucha roja comienza a limpiar Gotham con la misma eficiencia de batman, pero sin seguir el mismo código de ética.;https://www.themoviedb.org/movie/40662-batman-under-the-red-hood?language=es-MX;Hombre;25 a 40 años;7;Acción, Animación, Misterio
2/24/2019 10:15:05;Batman: Ataque a Arkham (2014);"Bienvenidos al oscuro corazón de Gotham City. En el centro de la oscuridad se encuentra el manicomio de Arkham, infectado por una población de peligrosos y desalmados malvados, cortesía del Caballero Oscuro. Pero cuando Batman frustra los planes de Enigma y una prueba necesita ser recuperada dentro de Arkham, la solución viene de una fuente inesperada: un equipo de asalto encubierto proveniente de lo más lóbrego de Gotham City. El asesino Deadshot lidera el Escuadrón Suicida. Harley Quinn, Killer Frost, Capitán Boomerang, King Shark y Black Spider compone el resto del equipo; que conocen Arkham como si fuera su propio hogar.";https://www.themoviedb.org/movie/242643-batman-assault-on-arkham?language=es-MX;Hombre;25 a 40 años;6;Suspense, Animación, Acción, Crimen
2/25/2019 9:56:48;El fotógrafo de Mauthausen (2018);Con la ayuda de un grupo de prisioneros españoles que lideran la organización clandestina del campo de concentración de Mauthausen, Francesc Boix, un preso que trabaja en el laboratorio fotográfico, arriesga su vida al planear la evasión de unos negativos que demostrarán al mundo las atrocidades cometidas por los nazis. Miles de imágenes que muestran desde dentro toda la crueldad de un sistema perverso. Las fotografías que Boix y sus compañeros lograron salvar fueron determinantes para condenar a altos cargos nazis en los juicios de Núremberg en 1946. Boix fue el único español que asistió como testigo.;https://www.themoviedb.org/movie/528949-el-fotografo-de-mauthausen?language=es-ES;Hombre;25 a 40 años;8;Drama, Historia, Suspense
3/2/2019 8:04:06;Creed II: Defendiendo el Legado (2018);La vida se ha convertido en un acto de equilibrio para Adonis Creed. Entre las obligaciones personales y el entrenamiento para su próxima gran pelea, se enfrenta al desafío de su vida. Enfrentarse a un oponente con vínculos con el pasado de su familia solo intensifica su inminente batalla en el ring. Rocky Balboa está a su lado a lo largo de todo y, juntos, Rocky y Adonis enfrentarán su legado compartido, cuestionarán lo que vale la pena luchar y descubrirán que nada es más importante que la familia.;https://www.themoviedb.org/movie/480530-creed-ii?language=es-MX;Hombre;25 a 40 años;7;Drama
3/3/2019 12:47:35;Animales Fantásticos: Los Crímenes de Grindelwald (2018);El poderoso mago oscuro Gellert Grindelwald (Johnny Depp) fue capturado por MACUSA (Magicongreso Único de la Sociedad Americana), con la ayuda de Newt Scamander (Eddie Redmayne). Pero, cumpliendo su amenaza, Grindelwald escapó a la custodia y se ha dedicado a reunir seguidores, la mayoría desprevenidos de su verdadera agenda: criar hechiceros de sangre pura para gobernar a todos los seres no mágicos. En un esfuerzo por frustrar los planes de Grindelwald, Albus Dumbledore (Jude Law) recluta a su antiguo estudiante Newt Scamander, quien accede a ayudar, sin darse cuenta de los peligros que le esperan. Las líneas se dibujan mientras se prueba el amor y la lealtad, incluso entre los verdaderos amigos y familiares, en un mundo mágico cada vez más dividido.;https://www.themoviedb.org/movie/338952-fantastic-beasts-the-crimes-of-grindelwald?language=es-MX;Hombre;25 a 40 años;6;Aventura, Fantasía, Familia
3/4/2019 7:53:36;Batman: El Regreso del Caballero Oscuro, Parte 1 (2012);"Bruce Wayne hace más de diez años que abandonó la capa de murciélago atormentado por la muerte de Robín. La ciudad de Gotham esta hundida en la decadencia y la anarquía. Ahora, cuando su ciudad más lo necesita, El Regreso del Caballero Oscuro es un resplandor de gloria. Apoyado por Carrie Kelly, una adolescente que asumirá el puesto de Robin, el murciélago sale nuevamente a la calle para poner fi n a la amenaza de pandillas mutantes que han invadido la ciudad. Y después estará frente a frente contra sus dos grandes enemigos, el Joker y Dos Caras. Primera parte de la adaptación del aclamado cómic de Frank Miller ""El retorno del señor de la noche"".";https://www.themoviedb.org/movie/123025-batman-the-dark-knight-returns-part-1?language=es-MX;Hombre;25 a 40 años;7;Acción, Animación, Misterio
3/4/2019 7:54:24;Batman: El Regreso del Caballero Oscuro, Parte 2 (2013);"Siguiendo con los sucesos que nos hicieron vibrar en El Regreso del Caballero Oscuro: Primera Parte, un Batman odiado y querido a partes iguales por los ciudadanos de Ciudad Gotham será llevado hasta sus límites. Teniendo que enfrentarse de nuevo a un Joker más loco que nunca, se encontrará inesperadamente luchando a muerte con su antiguo aliado, Superman. Solo uno de los dos podrá sobrevivir al combate definitivo. Segunda parte de la adaptación del aclamado cómic de Frank Miller ""El retorno del señor de la noche""";https://www.themoviedb.org/movie/142061-batman-the-dark-knight-returns-part-2?language=es-MX;Hombre;25 a 40 años;7;Acción, Animación, Misterio
3/4/2019 7:58:15;Batman, Ciudad Gótica: Luz de Gas (2018);En una época alternativa de Victoria de la Ciudad Gótica, Batman comienza su guerra contra el crimen mientras investiga una nueva serie de asesinatos de Jack el Destripador.;https://www.themoviedb.org/movie/471474-batman-gotham-by-gaslight?language=es-MX;Hombre;25 a 40 años;8;Acción, Animación, Ciencia Ficción, Suspense
3/4/2019 7:59:50;Batman: El caballero de Ciudad Gótica (2008);Explore la transición de Bruce Wayne desde su inicio como vigilante atormentado hasta The Dark Knight de una metrópolis en ruinas con seis capítulos distintos, pero que se pretende que se vea en su totalidad. ;https://www.themoviedb.org/movie/13851-batman-gotham-knight?language=es-MX;Hombre;25 a 40 años;8;Acción, Animación, Aventura
3/4/2019 8:01:12;Batman: La broma asesina (2016);Mientras Batman caza al Joker fugitivo, el payaso príncipe del crimen ataca a la familia Gordon para demostrar un punto diabólico que refleja su propia caída en la locura. Basado en la novela gráfica de Alan Moore y Brian Bolland.;https://www.themoviedb.org/movie/382322-batman-the-killing-joke?language=es-MX;Hombre;25 a 40 años;8;Acción, Animación, Drama, Crimen
3/4/2019 8:03:01;LEGO Batman: La película (2017);"Con el irreverente espíritu de diversión que convirtió a ""The Lego Movie"" en un fenómeno mundial, el autodenominado protagonista de ese conjunto, Lego Batman, protagoniza su propia aventura en la gran pantalla. Pero se están gestando grandes cambios en Ciudad Gótica, y si quiere salvar a la ciudad de la invasión hostil de The Joker, Batman puede tener que dejar a un lado al vigilante, tratar de trabajar con otros y tal vez, solo tal vez, aprender a alegrarse.";https://www.themoviedb.org/movie/324849-the-lego-batman-movie?language=es-MX;Hombre;25 a 40 años;7;Acción, Animación, Comedia, Familia, Fantasía
3/4/2019 8:03:51;Batman: Mala Sangre (2016);Bruce Wayne está desaparecido. Alfred lo cubre mientras Nightwing y Robin patrullan Gotham City en su lugar. Y un nuevo jugador, Batwoman, investiga la desaparición de Batman.;https://www.themoviedb.org/movie/366924-batman-bad-blood?language=es-MX;Hombre;25 a 40 años;8;Acción, Animación, Ciencia Ficción
3/4/2019 14:41:43;Batman: Mala Sangre (2016);Bruce Wayne está desaparecido. Alfred lo cubre mientras Nightwing y Robin patrullan Gotham City en su lugar. Y un nuevo jugador, Batwoman, investiga la desaparición de Batman.;https://www.themoviedb.org/movie/366924-batman-bad-blood?language=es-MX;Hombre;25 a 40 años;6;Acción, Animación, Ciencia Ficción
3/4/2019 14:42:44;The Big Cube (1969);A young woman and her drug addict boyfriend plot to drive the woman's stepmother insane with LSD in a plot to secure an inheritance.;https://www.themoviedb.org/movie/72100-the-big-cube?language=es-MX;Hombre;18 a 25 años;4;Drama, Misterio, Suspense
3/4/2019 14:44:10;Pantera Negra (2018);Pantera negra, de Marvel Studios, sigue a T'Challa, quien regresa a Wakanda, su solitaria nación africana de tecnología avanzada, para asumir como rey. Pero cuando un antiguo y poderoso enemigo reaparece, la fortaleza de T'Challa como rey y superhéroe es puesta a prueba cuando se ve involucrado en un gran conflicto que pone en riesgo el destino de Wakanda y del mundo entero.;https://www.themoviedb.org/movie/284054-black-panther?language=es-MX;Hombre;25 a 40 años;8;Acción, Aventura, Ciencia Ficción, Fantasía
3/4/2019 14:45:11;Blade Runner (1982);Rick Deckard deambula por la jungla de acero y microchips de la ciudad de Los Angeles del siglo XXI. Su misión: buscar androides genéticos criminales. Su orden: matarlos. Su delito: querer ser humanos.;https://www.themoviedb.org/movie/78-blade-runner?language=es-MX;Hombre;18 a 25 años;9;Ciencia Ficción, Drama, Suspense
3/4/2019 14:46:04;Blade Runner 2049 (2017);En 2049, K es uno de los esclavos androides de la nueva serie Nexus-9 llamados replicantes. K también es un Blade Runner, un cazador de replicantes rebeldes, que termina realizando un importante descubrimiento durante una de sus misiones. Luego de ser ordenado buscar y destruir cualquier evidencia del suceso, el androide termina tras la pista de Rick Deckard, un misterioso ex Blade Runner desparecido por más de 30 años. Secuela del icónico filme de ciencia ficción de 1982, Blade Runner.;https://www.themoviedb.org/movie/335984-blade-runner-2049?language=es-MX;Hombre;25 a 40 años;7;Ciencia Ficción, Suspense
3/4/2019 14:46:51;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006);Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.;https://www.themoviedb.org/movie/496-borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan?language=es-MX;Hombre;25 a 40 años;8;Comedia
3/4/2019 14:47:53;Looking for Miguel (2007);A wealthy Columbian politician blinded by his own privilege is forced to walk a mile in the shoes of the people he despises most after falling victim to a violent attack and subsequently losing his memory. Miguel was a man of fine stock, a politician who has led a charmed life since the day he was born. But Miguel has no appreciation for his lot in life, and scoffs at the everyday people who must struggle just to survive. One day, after being assaulted on the street and left for dead, Miguel awakens with no memory of the past. He has forgotten his distain for the dumpster divers, petty thieves, and wandering transients who crowd the city streets, and now their warmth and solidarity is the only thing keeping him alive. As Miguel forges a friendship with a pious but promiscuous drag queen, the fragments of the past gradually become illuminated in his mind, prompting him on a desperate quest to reclaim his identity and atone for the sins of his past.;https://www.themoviedb.org/movie/327500-buscando-a-miguel?language=es-MX;Hombre;18 a 25 años;5;Drama
3/5/2019 10:22:29;Lolita's Club (2007);The plot follows the story of twin brothers, one is a coldhearted violent police officer, the other is a helpless romantic with a mental disability. The two brothers are tragically involved with a prostitute who works in the bordello that gives the film its title. The film was adapted from an eponymous novel written by Juan Marsé.;https://www.themoviedb.org/movie/25482-canciones-de-amor-en-lolita-s-club?language=es-MX;Hombre;18 a 25 años;4;Drama
3/5/2019 10:23:26;Capitán América: Civil War (2016);Luego de que una misión de los Vengadores resulta en serios daños colaterales, el equipo es presionado políticamente para ser supervisado por un ente gubernamental. Este nuevo status quo crea una fractura entre los héroes, quienes terminan divididos en dos equipos: uno dirigido por el Capitán América y su deseo de proteger al mundo sin interferencia del gobierno y otro por Iron Man y su sorpresiva decisión de apoyar la idea de un sistema de supervisión gubernamental.;https://www.themoviedb.org/movie/271110-captain-america-civil-war?language=es-MX;Hombre;25 a 40 años;8;Acción, Aventura, Ciencia Ficción
3/5/2019 10:24:09;Capitán América: El Primer Vengador (2011);"Nacido durante la Gran Depresión, Steve Rogers creció como un chico enclenque en una familia pobre. Horrorizado por las noticias que llegaban de Europa sobre los nazis, decidió enrolarse en el ejército; sin embargo, debido a su precaria salud, fue rechazado una y otra vez. Enternecido por sus súplicas, el General Chester Phillips le ofrece la oportunidad de tomar parte en un experimento especial. la ""Operación Renacimiento"". Después de administrarle el “Suero Super-Soldado” y bombardearlo con “vita-rayos”, el cuerpo de Steve se hace perfecto. Posteriormente, es sometido a un intensivo programa de entrenamiento físico y táctico. Tres meses después, recibe su primera misión como Capitán América. Armado con un escudo indestructible y su inteligencia para la batalla, el Capitán América emprende la guerra contra el mal, como centinela de la libertad y como líder de los Vengadores.";https://www.themoviedb.org/movie/1771-captain-america-the-first-avenger?language=es-MX;Hombre;18 a 25 años;9;Acción, Aventura, Ciencia Ficción
3/5/2019 10:24:52;Capitán América y el soldado del invierno (2014);Steve Rogers, alias Capitán América, vive en Washington intentando adaptarse al mundo moderno. Pero un colega de SHIELD es atacado y se ve envuelto en una conspiración que se está gestando desde la era soviética. Debe resolver el misterio mientras se enfrenta a un enemigo inesperado: el Soldado del Invierno.;https://www.themoviedb.org/movie/100402-captain-america-the-winter-soldier?language=es-MX;Hombre;18 a 25 años;8;Acción, Aventura, Ciencia Ficción
3/5/2019 10:26:06;Captain Tsubasa Movie 01: The great competition of Europe (1985);"The first Captain Tsubasa movie is about a match between an ""All Europe Boy Soccer Team"" and an ""All Japan Boy Soccer Team"" and takes place at the end of the first TV series. When the Japanese team arrives in Europe they meet incredible players with skills and strength they never had to face before.";https://www.themoviedb.org/movie/171899-captain-tsubasa-europe-daikessen?language=es-MX;Hombre;18 a 25 años;6;Animación
3/5/2019 10:27:38;Captain Tsubasa Movie 02 - Attention! The Japanese Junior Selection (1985);The second movie is about the return match between the All Europe Soccer Team and Japan.;https://www.themoviedb.org/movie/264992-captain-tsubasa-ayaushi-zen-nippon-jr?language=es-MX;Hombre;18 a 25 años;8;Animación
3/5/2019 10:28:10;Captain Tsubasa Movie 04: The great world competition! The Junior World Cup (1986);No tenemos un resumen traducido a tu idioma. Ayúdanos agregando uno.;https://www.themoviedb.org/movie/172415-captain-tsubasa-sekai-daikessen-jr-world-cup?language=es-MX;Hombre;18 a 25 años;7;Animación
3/5/2019 10:28:33;Captain Tsubasa Movie 05: The most powerful opponent! Holland Youth (1994);No tenemos un resumen traducido a tu idioma. Ayúdanos agregando uno.;https://www.themoviedb.org/movie/172418-captain-tsubasa-saikyou-no-teki-holland-youth?language=es-MX;Hombre;18 a 25 años;7;Animación
3/5/2019 10:28:58;Captain Tsubasa Movie 03: Run to catch the tomorrow! (1986);No tenemos un resumen traducido a tu idioma. Ayúdanos agregando uno.;https://www.themoviedb.org/movie/172409?language=es-MX;Hombre;18 a 25 años;7;Animación
3/6/2019 10:37:19;Casablanca (1942);Durante la Segunda Guerra Mundial, Casablanca era una ciudad a la que llegaban huyendo del nazismo gentes de todas partes: llegar era fácil, pero salir era casi imposible, especialmente si el nombre del fugitivo figuraba en las listas de la Gestapo. En esta ocasión el principal objetivo de la policía secreta alemana es el líder checo y héroe de la resistencia Victor Laszlo, cuya única esperanza es Rick Blaine, propietario del 'Rick’s Café' y antiguo amante de su mujer, Ilsa. Cuando Ilsa se ofrece a quedarse a cambio de un visado para sacar a Laszlo del país, Rick deberá elegir entre su propia felicidad o el idealismo que rigió su vida en el pasado.;https://www.themoviedb.org/movie/289-casablanca?language=es-MX;Hombre;18 a 25 años;5;Drama, Romance
3/6/2019 10:38:06;Casino (1995);"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.";https://www.themoviedb.org/movie/524-casino?language=es-MX;Hombre;18 a 25 años;8;Crimen, Drama
3/6/2019 10:38:51;Amigos con beneficios (2011);Jamie (Kunis) es una joven cazatalentos que convence a Dylan (Timberlake) para que se vaya a trabajar a Nueva York como director artístico de la revista GQ. Una vez allí los dos, solteros y atractivos, entablan una relación estrictamente sexual sin dejar por ello de ser amigos. Naturalmente, esta anómala relación no les traerá más que complicaciones.;https://www.themoviedb.org/movie/50544-friends-with-benefits?language=es-MX;Hombre;18 a 25 años;7;Comedia, Romance
3/6/2019 10:39:41;Condorito: La película (2017);El pajarraco más querido de Pelotillehue emprenderá, junto a su tenaz sobrino Coné, una peligrosa aventura para rescatar a su desaparecida suegra Doña Tremebunda, abducida misteriosamente por una banda alienígena. Lo que no ha tomado en cuenta es que, mientras intenta reparar el error con la madre de Yayita, ésta será tentada románticamente por el insistente Pepe Cortisona. Adaptación cinematográfica del famoso cómic chileno de Pepo.;https://www.themoviedb.org/movie/450314-condorito-la-pel-cula?language=es-MX;Hombre;25 a 40 años;5;Acción, Animación, Aventura, Ciencia Ficción, Comedia, Familia
3/6/2019 10:40:24;El Cubo 2 - Hipercubo (2002);Ocho personas desconocidas luchan por sobrevivir después de que misteriosamente despiertan en otra dimensión.;https://www.themoviedb.org/movie/437-cube-2-hypercube?language=es-MX;Hombre;18 a 25 años;4;Ciencia Ficción, Misterio, Suspense
3/7/2019 14:46:44;DC Showcase: Green Arrow (2010);At an airport, the Emerald Archer must protect a young princess from assassins.;https://www.themoviedb.org/movie/46718-dc-showcase-green-arrow?language=es-MX;Hombre;25 a 40 años;7;Animación, Aventura
